Marathon Joensuu 2018
62.688077 29.890846 1540966737379.7144
62.684492999999996 29.893849999999997 1540966742452
62.68085 29.896382 1540966747524.2856
62.67955 29.896682 1540966752596.5715
62.6789 29.896382 1540966757668.8572
62.67758 29.895609 1540966762741.1428
62.675197 29.895266 1540966767813.4285
62.671572 29.896081 1540966772885.7144
62.670764 29.895953 1540966777958
62.669463 29.894364999999997 1540966783030.2856
62.668833 29.892691 1540966788102.5715
62.667986 29.892262 1540966793174.8572
62.66572 29.892519 1540966798247.1428
62.664733999999996 29.892777 1540966803319.4285
62.663709 29.893635 1540966808391.7144
62.662665 29.894837 1540966813464
62.661443 29.896725 1540966818536.2856
62.660596 29.897969999999997 1540966823608.5715
62.65965 29.898656 1540966828680.8572
62.658190999999995 29.898999999999997 1540966833753.1428
62.657185999999996 29.899642999999998 1540966838825.4285
62.653538999999995 29.902476 1540966843897.7144
62.649967 29.906236 1540966848970
62.648649 29.905523 1540966854042.2856
62.645494 29.907583 1540966859114.5715
62.642122 29.910200999999997 1540966864186.8572
62.640997999999996 29.910929999999997 1540966869259.1428
62.638985999999996 29.911573999999998 1540966874331.4285
62.637192999999996 29.911832999999998 1540966879403.7144
62.635515 29.911016 1540966884476
62.634114 29.910543999999998 1540966889548.2856
62.632653999999995 29.911316 1540966894620.5715
62.630266999999996 29.912861 1540966899692.8572
62.629785 29.913389 1540966904765.1428
62.627367 29.915993999999998 1540966909837.4285
62.62584 29.915736 1540966914909.7144
62.62513 29.915864 1540966919982
62.624438999999995 29.916186 1540966925054.2856
62.622949 29.916873 1540966930126.5715
62.621567999999996 29.917880999999998 1540966935198.8572
62.620298 29.919110999999997 1540966940271.1428
62.61949 29.919697 1540966945343.4285
62.619341 29.919577999999998 1540966950415.7144
62.61918 29.919016 1540966955488
62.618859 29.917868 1540966957219.7095
62.618103999999995 29.915584 1540966958951.4187
62.617239999999995 29.91292 1540966960683.1282
62.616538999999996 29.910255 1540966962414.8376
62.615828 29.907352999999997 1540966964146.547
62.615204 29.905020999999998 1540966965878.2563
62.614624 29.902904 1540966967609.9658
62.614154 29.900906 1540966969341.6753
62.61353 29.898622 1540966971073.3845
62.612972 29.896576 1540966972805.094
62.612731999999994 29.895856 1540966974536.8035
62.612303999999995 29.894578 1540966976268.513
62.611931999999996 29.892961 1540966978000.2222
62.611611999999994 29.89137 1540966979731.9316
62.611259999999994 29.889529999999997 1540966981463.641
62.610977999999996 29.887784999999997 1540966983195.3503
62.610921999999995 29.886339999999997 1540966984927.0598
62.611036 29.885120999999998 1540966986658.7693
62.611396 29.882776999999997 1540966988390.4785
62.611670999999994 29.880909 1540966990122.188
62.611748999999996 29.879849 1540966991853.8975
62.611712 29.878797 1540966993585.607
62.611587 29.877892 1540966995317.3162
62.611418 29.877167999999998 1540966997049.0256
62.611042999999995 29.876141999999998 1540966998780.735
62.610568 29.875169999999997 1540967000512.4443
62.609133 29.872560999999997 1540967002244.1538
62.608411999999994 29.871225 1540967003975.8633
62.608103 29.870485 1540967005707.5728
62.607895 29.869875 1540967007439.282
62.607448 29.867462 1540967009170.9915
62.607008 29.865295 1540967010902.701
